px	py	v	yaw	yaw_rate	vx	vy	px_meas	py_meas	x_gt	y_gt	vx_gt	vy_gt	rmse_px	rmse_py	rmse_vx	rmse_vy	nis_lidar	nis_radar
-3.38517	5.20018	5.15122	4.38403	0.035423	-1.66121	-4.87601	-3.43031	5.10507	-3.40424	5.13955	-1.71787	-4.90745	0.0586009	0.0865848	0.449399	0.257295	0.593864	2.37656
-3.45398	4.95412	5.15055	4.39521	0.0509951	-1.60637	-4.89364	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525	0.0585297	0.0864959	0.448573	0.256789	0.593864	0.184219
-3.56553	4.67904	5.20942	4.38928	0.0421516	-1.65407	-4.93985	-3.69435	4.52196	-3.57657	4.64902	-1.72939	-4.90233	0.0584189	0.0863466	0.447718	0.256296	2.22751	0.184219
-3.67495	4.42706	5.21956	4.3705	0.00355269	-1.74992	-4.91747	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868	0.0583093	0.0861898	0.446843	0.255798	2.22751	2.3703
-3.80497	4.15875	5.27748	4.35795	-0.00927072	-1.83162	-4.94944	-4.00238	4.04684	-3.75039	4.15913	-1.74749	-4.8943	0.0582953	0.086022	0.446004	0.255323	2.77449	2.3703
-3.88734	3.91754	5.26876	4.36622	0.00873378	-1.78767	-4.95621	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918	0.058263	0.0858553	0.445142	0.254861	2.77449	1.10146
-3.96082	3.68293	5.24072	4.37052	0.0122341	-1.75693	-4.93745	-3.88053	3.75177	-3.92635	3.67019	-1.77212	-4.8833	0.0581899	0.0856931	0.444283	0.254391	0.593595	1.10146
-4.06472	3.47418	5.19606	4.35232	-0.0211402	-1.83076	-4.86286	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666	0.0581586	0.08558	0.443436	0.253903	0.593595	4.22219
-4.15554	3.2294	5.19786	4.35175	-0.0206123	-1.83416	-4.8635	-4.15119	3.21968	-4.10509	3.18248	-1.8032	-4.86925	0.058131	0.0854652	0.44259	0.253416	0.00598092	4.22219
-4.27114	2.97607	5.22523	4.3368	-0.0455672	-1.91673	-4.86099	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104	0.0582068	0.0853324	0.441784	0.252932	0.00598092	0.873063
-4.35964	2.70412	5.25883	4.34076	-0.0383564	-1.90968	-4.89984	-4.32451	2.55034	-4.28727	2.69633	-1.84065	-4.85202	0.0582671	0.0851713	0.440964	0.252468	1.31691	0.873063
-4.44733	2.45437	5.26032	4.34471	-0.0282242	-1.89084	-4.90873	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218	0.0583048	0.0850099	0.440131	0.252023	1.31691	0.158549
-4.55086	2.19144	5.29102	4.3432	-0.0272175	-1.90933	-4.93451	-4.61223	2.09192	-4.47352	2.21205	-1.88436	-4.83149	0.0583883	0.0848588	0.439303	0.251626	0.709967	0.158549
